B1,B2,B3,Actual
73,73,77,79
72,73,74,89
52,64,60,73
65,65,70,76
66,76,79,83
79,79,69,82
76,75,81,84
72,81,79,90
65,70,71,81
67,71,85,81
70,68,61,78
67,74,75,75
73,65,68,75
59,78,77,93
83,81,87,88
79,79,82,90
69,71,77,77
75,77,81,91
62,66,70,79
65,67,69,74
45,63,69,77
57,64,69,67
56,61,58,64
72,69,79,78
77,82,66,85
68,80,80,83
74,84,73,84
76,62,60,67
81,81,80,85
66,73,82,93
76,70,80,78
61,66,57,79
67,75,83,89
59,66,70,77
56,64,80,80
83,83,91,96
69,73,73,83
91,84,90,88
74,71,79,83
69,70,75,82
77,81,78,88
69,75,77,85
75,72,70,76
65,66,70,75
55,60,63,72
71,80,76,72
72,76,83,89
71,75,75,80
72,72,82,85
86,85,88,90
89,83,88,93
68,77,71,83
73,83,81,87
73,75,81,77
63,70,70,83
62,77,82,82
63,75,80,77
73,75,81,85
65,69,79,80
76,76,76,81
72,78,76,89
75,73,82,84
66,77,84,82
69,79,77,86
81,81,81,90
81,81,82,80
68,70,70,79
78,84,85,90
81,74,87,86
82,85,89,93
75,72,86,91
76,80,86,85
76,76,75,85
72,73,77,81
58,76,67,81
68,71,70,71
77,75,79,85
63,75,76,85
58,64,70,81
60,74,85,79
82,88,88,94
74,77,79,92
55,60,69,74
77,76,82,78
74,70,85,80
77,76,76,85
55,71,80,80
76,73,74,75
67,72,76,83
70,75,85,81
53,72,66,85
70,67,71,74
82,82,86,90
65,70,65,78
63,73,83,83
81,80,73,75
69,67,66,79
76,69,69,82
78,83,90,91
62,70,68,80
78,85,79,90
72,74,74,83
75,78,79,92
51,69,79,77
82,79,85,93
61,68,64,74
63,69,78,81
69,78,77,85
68,74,70,77
66,77,74,83
79,72,72,80
79,73,83,84
74,79,76,85
93,86,92,93
74,72,79,79
59,63,76,75
78,78,75,90
66,76,75,84
71,72,74,81
72,78,79,81
76,77,72,84
59,71,71,83
76,75,72,86
62,67,73,78
64,66,66,79
77,73,79,82
70,80,86,87
70,70,69,84
78,76,80,86
82,69,76,80
71,81,84,80
61,75,74,81
70,77,76,77
70,73,71,79
65,64,68,75
71,73,68,77
70,66,72,81
69,77,83,92
65,72,69,77
72,73,71,81
62,65,67,77
78,77,87,93
71,75,77,79
76,72,73,82
76,84,82,87
64,77,81,77
76,77,86,91
80,91,89,92
72,77,81,84
70,69,75,76
66,73,64,80
69,70,72,79
75,83,73,91
85,79,80,90
65,72,70,81
64,72,78,86
68,82,78,81
57,65,72,77
64,72,63,75
66,75,79,80
78,77,79,80
79,83,80,89
69,70,68,83
83,83,83,87
66,76,73,76
55,60,68,75
82,78,79,90
70,76,71,87
81,83,85,90
72,76,85,89
86,94,89,87
74,78,79,83
85,86,83,91
69,68,78,79
78,76,80,80
75,80,82,86
79,81,79,86
63,66,63,77
68,75,77,79
84,80,81,88
77,73,73,84
68,78,76,79
72,78,79,90
81,83,88,88
78,81,83,86
82,83,83,89
83,79,88,94
76,80,92,75
78,78,77,87
76,80,92,87
64,71,67,80
70,81,72,82
63,74,73,79
65,71,72,78
64,78,70,84
69,72,77,79
73,73,79,89
66,74,73,83
92,87,87,97
72,75,74,84
69,78,76,79
82,81,83,97
74,73,70,89
67,62,68,83
63,50,59,82
55,61,59,75
76,82,79,84
76,82,79,84
76,76,75,88
68,69,71,81
75,78,81,87
65,75,81,87
83,76,78,83
70,69,69,87
81,78,74,83
71,74,79,81
75,72,79,77
80,82,82,81
79,81,80,83
58,80,79,89
72,75,62,89
64,76,61,91
64,79,92,84
68,71,77,75
81,81,87,98
76,75,83,91
68,70,73,86
72,78,78,91
75,83,84,84
77,79,75,85
64,65,69,76
76,80,80,81
75,75,78,91
82,83,82,89
80,82,85,83
64,71,61,74
64,74,78,83
86,82,78,92
72,76,75,92
66,65,77,82
86,88,80,90
75,72,75,85
64,80,68,89
67,73,78,94
82,81,81,80
71,65,72,76
69,74,72,88
75,78,70,83
65,76,67,72
62,69,75,83
79,81,80,88
63,75,70,85
79,75,70,78
66,69,81,79
64,71,78,90
72,77,84,93
71,89,74,81
74,69,77,82
68,68,80,78
57,67,59,79
67,64,72,78
64,65,75,76
71,78,84,82
81,89,79,99
72,69,80,93
80,86,79,91
80,81,84,84
71,71,70,80
76,71,75,81
