B1,B2,B3,Actual
76,75,78,90
67,71,57,76
72,67,69,81
79,83,73,80
55,65,80,89
71,78,82,88
77,76,75,82
78,78,84,90
75,75,84,88
68,70,69,87
75,74,82,86
84,80,83,89
64,69,69,80
82,85,86,86
73,78,78,85
73,81,82,90
72,64,75,78
79,81,81,91
92,83,87,91
58,76,66,82
69,73,72,82
64,71,73,81
80,76,70,84
64,74,72,78
48,56,48,65
64,70,64,84
76,80,80,81
70,75,77,80
72,66,74,75
73,74,80,74
70,77,73,78
68,72,71,77
75,77,81,94
86,89,87,88
82,86,90,90
74,73,79,82
73,81,74,93
59,68,76,79
69,75,70,86
73,80,79,84
74,74,77,78
78,81,78,80
66,74,78,85
67,75,76,78
75,81,85,88
62,60,72,76
75,78,75,81
64,67,72,76
92,90,90,92
81,75,88,81
63,69,91,81
64,66,71,81
61,63,68,75
74,77,70,84
76,86,88,86
78,78,80,80
73,74,85,83
68,73,75,72
78,78,83,80
64,68,63,79
69,77,78,80
69,73,77,79
80,83,79,88
62,72,71,74
63,72,61,78
62,70,76,79
56,63,55,76
66,72,83,81
86,85,86,88
53,66,64,79
84,89,90,94
78,86,82,80
71,72,72,80
60,69,63,76
87,84,87,93
69,76,74,81
70,67,79,65
93,92,94,95
72,70,70,82
69,70,71,74
68,65,77,75
77,73,84,87
64,72,80,75
64,73,81,84
57,59,66,76
83,80,85,89
81,76,87,85
72,70,71,81
58,67,68,77
65,70,70,75
68,75,65,66
75,70,78,73
70,76,75,68
78,74,86,87
77,65,79,85
77,73,76,86
74,83,81,88
79,77,81,88
76,68,76,90
73,69,66,85
69,67,65,75
69,68,73,82
69,63,69,75
70,71,81,76
85,86,86,78
64,73,71,73
42,38,68,76
74,70,69,75
72,73,78,80
80,77,79,81
84,86,81,86
71,72,85,89
59,69,69,79
71,72,60,80
64,71,76,78
80,74,78,71
60,72,74,78
80,79,79,83
57,61,64,74
62,71,75,84
81,87,87,90
66,71,80,79
80,80,88,85
65,79,80,80
74,71,72,72
77,78,79,89
76,55,80,82
69,73,78,86
80,72,80,87
62,75,72,76
72,75,81,81
55,62,60,76
80,78,66,86
70,70,75,82
57,68,69,76
66,72,78,74
57,73,65,63
80,78,84,94
68,72,78,83
61,60,70,76
70,69,74,77
66,70,66,78
57,68,63,77
78,79,87,81
69,71,74,80
79,79,79,82
68,75,72,84
73,76,84,86
66,75,78,76
77,81,86,89
64,71,72,76
86,85,86,86
71,77,85,83
59,68,60,76
74,80,83,81
62,70,70,78
72,71,77,77
67,72,80,82
59,72,75,75
71,78,81,88
66,70,77,76
83,84,83,95
83,88,86,93
80,79,79,92
81,82,82,85
77,77,86,84
74,74,80,90
65,67,67,76
78,80,82,90
63,75,70,81
70,79,82,84
68,80,74,85
85,82,84,90
67,65,79,78
76,79,82,88
64,70,57,80
62,72,76,82
82,77,87,86
73,76,83,86
73,77,85,77
58,74,72,70
74,80,72,77
63,62,67,74
53,65,65,75
68,78,84,88
78,75,74,88
56,66,60,75
68,68,75,77
72,77,78,79
68,78,77,80
73,75,80,83
70,74,83,77
74,78,86,88
88,80,84,88
75,71,82,87
60,67,77,85
72,79,81,84
76,69,78,89
71,76,69,77
70,76,76,83
72,73,78,80
71,79,79,86
80,86,92,94
78,83,81,90
62,60,60,75
65,69,65,69
70,79,74,89
65,74,65,77
55,71,67,80
73,82,82,85
70,75,80,78
62,78,72,76
79,82,83,90
68,76,84,81
74,76,71,79
71,86,84,92
69,71,77,76
65,81,71,80
83,83,89,88
77,82,86,93
74,74,87,79
71,77,73,76
81,79,85,88
74,79,77,81
64,78,71,83
59,72,79,80
51,54,57,76
76,82,80,82
76,77,76,73
74,83,87,92
72,77,85,82
69,77,85,80
68,68,77,85
79,78,80,88
78,77,76,88
75,70,71,80
81,80,83,90
76,77,67,78
68,72,73,76
70,78,72,81
78,86,75,88
70,74,75,86
72,78,84,84
66,66,66,79
76,74,77,77
72,80,80,83
78,77,75,81
60,66,57,69
66,69,73,82
70,78,68,82
76,84,83,87
68,71,81,82
65,80,70,77
76,76,73,84
63,72,73,85
88,88,87,94
78,78,87,94
64,71,61,78
62,70,69,75
82,82,80,80
62,63,70,76
72,76,68,83
81,74,87,86
68,69,72,82
84,83,82,88
61,73,62,75
71,73,76,82
62,70,65,75
64,67,71,72
69,71,70,76
68,77,87,80
71,79,70,84
87,86,85,96
78,77,72,90
58,61,58,63
77,77,85,85
66,73,74,82
77,74,75,85
58,67,61,79
60,69,72,76
72,75,75,83
68,75,84,89
70,81,83,85
80,82,81,91
63,67,75,75
68,69,80,78
70,74,80,80
72,76,85,82
77,74,77,80
76,77,83,87
66,62,65,72
66,66,74,76
70,69,68,82
71,75,78,75
72,79,76,81
77,78,81,85
64,67,75,81
70,75,71,83
75,73,78,85
72,73,79,86
80,78,90,87
76,78,77,86
81,77,91,91
74,81,83,87
90,92,89,84
74,75,78,88
78,81,80,86
69,69,65,82
74,71,87,78
87,79,91,92
90,92,94,98
71,83,82,86
68,70,67,76
72,71,70,86
74,75,80,88
63,70,67,82
68,68,76,76
72,76,80,84
65,75,73,75
68,69,70,84
74,80,80,85
56,63,75,77
66,73,82,88
77,69,77,82
59,66,64,76
82,87,87,86
67,73,76,82
74,69,85,82
80,88,84,90
75,80,75,84
77,77,86,85
63,71,76,81
62,78,74,87
72,68,75,74
62,67,67,77
68,81,77,77
74,85,87,87
76,80,86,89
68,79,82,80
61,67,76,75
80,83,84,85
48,58,63,65
80,83,87,88
57,67,67,68
68,81,81,81
77,82,84,79
81,85,85,92
51,67,64,75
54,60,66,85
64,69,78,87
81,88,89,92
76,86,86,85
77,79,83,93
71,72,74,82
65,69,68,80
77,80,77,86
72,77,76,81
71,72,74,82
62,70,70,80
68,72,85,86
78,84,89,90
64,74,70,75
78,78,78,85
66,70,69,79
69,72,79,79
75,74,79,79
78,78,86,87
81,73,87,81
72,81,84,85
70,75,65,80
72,74,83,80
64,68,78,88
60,72,70,80
68,69,72,76
85,86,90,98
72,63,74,81
70,80,81,90
77,87,83,91
75,77,76,86
78,81,87,87
77,83,86,89
60,66,66,77
67,80,67,79
81,78,89,88
86,93,90,89
76,72,81,78
74,80,80,85
72,83,66,86
79,83,88,84
85,82,91,93
78,78,75,82
74,74,80,82
76,81,72,82
68,69,74,74
57,76,83,80
67,75,72,82
63,74,86,84
82,88,84,89
75,83,80,88
65,75,73,80
80,79,82,88
60,77,68,76
58,64,69,75
68,68,68,85
70,70,71,86
71,70,74,80
77,75,75,81
66,71,66,81
79,79,85,83
74,73,80,79
66,76,74,81
68,76,75,84
68,67,80,77
71,81,82,86
78,74,74,81
73,79,83,78
76,76,70,76
76,74,74,87
74,78,82,88
69,69,71,90
72,76,77,90
72,76,77,82
81,84,88,93
72,72,70,78
57,72,80,84
63,70,70,75
66,71,79,77
78,70,85,85
68,67,76,77
72,74,74,85
74,79,82,96
74,78,80,83
66,72,70,80
51,44,44,73
70,70,77,76
69,82,73,84
65,70,75,74
87,86,91,92
92,92,89,89
80,80,87,88
65,74,77,84
81,79,80,84
86,81,84,90
75,75,79,87
71,74,82,81
72,76,77,77
68,79,80,83
73,80,73,89
58,64,75,83
71,64,81,82
77,79,88,85
76,68,80,84
73,73,68,83
81,84,90,94
83,80,88,87
62,71,71,74
68,75,72,84
71,72,74,77
69,70,81,80
68,71,73,82
77,82,76,86
70,80,80,80
57,62,64,71
68,75,83,82
79,77,84,90
57,70,81,76
67,76,76,89
68,76,78,80
75,76,80,85
61,67,75,77
70,76,68,81
79,78,88,83
69,81,78,81
76,74,78,80
74,76,75,85
61,68,64,76
72,72,81,85
76,72,76,86
72,75,75,83
58,64,69,71
72,76,79,85
74,74,74,81
71,74,67,71
74,81,86,93
70,74,79,78
75,84,83,80
68,80,81,90
61,71,66,77
87,85,90,84
62,69,77,85
60,70,69,80
64,81,78,81
72,72,67,77
64,69,76,76
74,81,86,93
70,74,79,78
75,84,83,80
83,78,78,85
70,72,74,79
77,83,80,87
57,67,68,78
79,77,77,80
72,77,77,93
76,78,80,84
68,68,72,71
68,73,80,85
58,73,73,81
70,71,79,83
80,77,83,93
69,75,69,78
66,82,75,84
54,68,55,69
72,86,81,82
59,70,68,79
72,72,79,90
61,59,64,75
88,83,92,91
42,63,58,78
67,76,74,75
79,82,81,78
81,78,84,86
65,73,68,79
72,82,73,81
60,73,72,76
65,63,66,85
77,80,83,88
74,83,75,90
68,75,76,86
80,82,79,87
62,65,68,90
67,78,75,74
79,85,87,83
70,75,78,74
62,74,75,68
72,84,80,77
63,70,72,76
72,71,74,84
87,87,90,96
82,83,85,90
84,79,88,90
76,82,74,92
72,78,78,81
58,68,72,79
77,76,80,78
61,68,73,77
66,67,77,79
82,73,74,81
70,71,70,73
59,74,89,89
67,77,78,75
74,72,75,91
59,64,7,74
73,79,81,86
70,74,70,82
80,80,86,80
71,79,85,84
58,71,79,83
66,73,74,77
65,63,70,72
70,76,81,77
61,67,82,81
76,77,78,84
69,79,82,92
62,68,69,78
69,76,69,88
70,72,72,86
68,80,81,85
75,81,82,82
62,59,69,80
62,83,83,82
63,72,82,83
87,84,87,95
75,80,75,84
66,78,81,91
72,70,77,79
66,67,77,78
69,67,74,74
64,66,70,73
79,80,86,88
78,79,84,90
72,66,76,81
71,79,85,89
68,68,78,75
77,78,83,86
57,72,62,77
