B1,B2,B3,Actual
72,68,70,90
68,68,76,90
80,85,80,97
43,63,74,77
43,63,74,77
79,71,74,87
62,61,61,88
59,59,78,93
71,74,84,94
43,74,70,87
81,76,76,85
58,62,71,87
75,69,75,89
63,70,84,95
54,63,80,85
65,63,73,79
88,87,87,93
73,75,78,69
55,61,78,91
65,71,78,93
68,86,85,91
49,64,75,86
60,59,81,89
73,73,81,93
65,71,78,93
56,71,80,84
73,77,81,86
45,70,80,71.7
61,68,77,78
59,68,82,85
59,61,84,93
51,53,69,91
43,57,55,91
63,54,80,88
61,72,74,88
65,77,82,92
77,81,90,96
70,76,77,87
64,66,81,92
72,70,80,94
49,66,65,85
69,74,80,91
75,74,84,92
55,60,75,90
63,64,76,84
65,72,75,87
73,79,79,92
52,58,66,81
72,66,76,94
66,61,80,90
63,72,85,95
68,68,85,95
82,71,82,94
55,66,76,89
74,69,83,93
57,60,84,86
58,61,79,83
52,57,71,81
65,66,93,97
52,71,75,91
55,70,74,77
63,64,76,84
56,63,71,84
82,76,81,93
73,78,78,87
64,86,86,95
85,76,78,91
68,65,74,84
71,67,73,92
53,63,78,91
52,54,78,83
58,63,68,84
72,71,77,91
69,84,86,96
64,50,82,77
81,86,88,98
59,61,72,88
48,55,71,86
61,67,81,81
64,71,84,93
56,69,79,92
46,53,61,73
64,71,84,93
56,69,79,92
46,53,61,73
73,71,77,89
57,61,71,78
46,61,74,77
57,62,79,87
76,79,82,94
59,70,80,85
77,70,83,90
40,58,79,87
66,59,83,90
64,80,81,99
74,80,82,96
45,62,65,86
61,62,74,87
64,57,74,88
60,68,77,85
56,63,68,79
88,87,86,96
57,80,84,97
74,72,84,93
57,64,76,86
81,67,83,98
67,78,85,88
71,68,74,90
66,67,78,89
67,76,85,99
55,55,74,83
52,62,70,76
63,66,76,87
60,72,76,80
59,70,81,87
64,75,81,95
51,63,71,77
51,53,67,83
77,68,82,86
63,71,81,95
63,66,76,87
64,75,81,95
51,63,71,77
51,53,67,83
77,68,82,86
63,71,81,95
59,70,81,87
60,72,76,80
52,57,67,82
52,54,83,86
60,65,79,74
86,76,83,97
73,71,85,92
42,50,60,89
74,73,87,94
64,59,79,93
36,62,76,80
62,64,60,80
56,71,70,91
62,63,80,89
56,63,74,79
62,67,74,81
65,73,82,87
55,60,62,83
75,72,87,92
80,77,88,93
62,67,76,80
60,54,63,88
54,68,75,91
47,45,54,87
59,53,76,94
71,64,75,91
76,71,76,91
72,79,78,92
47,64,67,89
70,83,86,97
61,71,85,95
58,63,76,87
67,71,80,91
77,80,85,96
55,66,77,83
63,66,76,88
65,71,89,88
41,61,71,91
67,71,81,86
62,69,74,80
71,65,77,94
67,74,76,87
52,68,70,91
55,62,80,89
47,56,66,77
82,76,78,96
73,76,81,97
59,66,67,76
54,62,73,89
75,65,74,93
72,71,74,94
58,68,75,95
62,69,77,88
65,56,66,78
56,58,75,80
72,67,87,99
56,58,75,80
55,63,73,88
68,73,88,98
67,79,86,97
67,80,80,97
89,93,87,96
71,62,78,94
57,70,80,90
49,54,65,85
66,63,79,82
70,67,70,92
57,60,71,82
60,57,71,84
66,72,81,94
80,76,82,96
68,75,72,93
46,51,78,79
70,76,81,90
63,48,75,85
50,55,58,91
84,67,78,97
67,74,79,96
81,71,82,97
69,68,79,90
66,70,71,89
56,62,69,90
59,49,64,91
61,64,83,87
78,75,87,99
86,82,85,99
70,76,89,99
52,50,69,92
59,61,81,85
53,73,78,92
55,59,71,89
57,67,76,92
70,80,82,93
52,50,72,88
72,74,84,95
77,80,83,92
37,71,78,84
63,63,70,82
49,58,76,84
77,83,78,80
55,84,72,79
65,68,86,93
42,62,77,90
71,70,81,86
59,64,81,84
60,73,77,93
66,68,78,92
56,55,59,75
52,61,80,87
45,65,70,91
66,65,76,89
51,63,71,92
55,63,76,82
57,72,73,91
76,76,80,99
69,71,73,85
69,75,81,94
71,74,77,95
67,76,77,95
66,59,62,90
54,64,67,79
61,65,75,91
71,89,90,88
67,61,81,91
67,64,79,93
43,51,63,77
50,70,79,87
77,76,90,99
70,79,84,97
59,60,68,85
70,60,72,86
57,68,76,94
80,75,83,95
60,66,83,92
61,52,63,87
85,80,84,99
53,67,78,96
57,64,77,89
82,77,90,99
76,72,75,95
71,62,69,84
65,71,74,91
55,59,64,91
66,56,74,81
51,58,74,82
53,49,85,76
51,74,76,91
78,75,91,97
54,66,69,94
78,75,81,98
60,59,80,91
50,60,69,89
68,66,78,97
58,65,75,91
56,62,80,93
65,66,75,88
38,58,75,88
67,68,69,93
72,61,73,95
51,63,69,84
65,71,81,96
57,58,77,89
62,65,85,96
52,56,72,87
59,57,71,81
54,44,60,87
49,43,72,88
46,51,56,98
88,66,79,87
62,64,79,98
58,64,76,92
54,65,78,87
56,64,76,91
69,57,79,90
50,64,70,87
45,54,69,84
46,57,65,91
69,66,71,93
75,73,80,91
61,63,69,93
60,58,82,83
57,56,71,89
50,60,73,87
69,74,85,93
51,57,72,93
54,62,85,75
68,78,79,94
57,66,79,94
71,70,73,91
79,82,84,99
58,66,79,92
67,68,67,91
76,77,79,91
48,52,57,92
61,66,73,90
63,65,80,89
74,75,80,96
59,67,79,94
80,67,81,95
60,67,83,90
69,74,72,94
71,88,82,98
50,57,76,77
33,64,78,88
65,70,79,96
77,70,77,94
58,58,68,77
62,66,74,95
61,62,82,92
63,66,62,89
60,57,79,95
