B1,B2,B3,Actual
42,63,66,83
74,68,73,89
49,47,73,87
63,71,79,92
75,66,84,78
45,57,77,80
67,77,85,89
76,81,85,86
66,74,79,89
53,71,77,88
60,83,84,97
58,69,80,90
64,65,82,82
51,60,72,82
70,77,73,79
49,53,79,80
61,78,81,93
68,87,88,87
52,52,70,81
63,68,79,87
57,82,81,94
66,68,70,86
66,60,82,93
71,68,83,90
82,83,89,95
60,74,78,91
59,57,72,81
61,61,78,86
75,68,80,95
52,57,80,83
46,71,80,77
65,78,89,97
48,62,67,85
89,79,89,99
67,78,87,96
71,71,84,92
85,78,86,93
73,74,78,94
60,61,61,88
60,69,79,78
83,71,82,91
68,72,80,94
58,67,83,89
64,53,74,77
74,81,77,78
62,65,81,89
69,67,85,94
41,63,80,93
63,76,81,88
29,57,59,86
49,53,79,80
70,76,79,90
49,49,57,76
62,58,60,83
69,81,85,87
49,69,77,84
61,70,83,88
68,74,86,92
62,83,79,91
69,80,85,94
33,49,67,86
54,53,83,84
58,69,72,82
75,78,90,95
67,76,87,92
69,80,82,89
62,75,88,94
61,54,73,84
58,65,66,90
69,86,88,99
50,66,76,89
53,68,74,87
63,76,82,99
43,71,64,88
77,64,77,96
65,72,87,91
68,74,76,92
62,58,77,89
78,67,79,96
51,56,67,86
69,65,83,91
47,58,70,82
57,67,75,91
68,72,75,83
58,64,80,87
71,79,83,87
62,62,71,84
69,72,73,90
60,67,86,84
49,62,74,82
60,63,74,84
68,80,78,88
43,67,48,87
55,77,70,89
46,60,72,75
71,61,83,90
49,64,78,85
55,65,83,84
85,78,86,97
42,61,78,88
74,80,90,95
48,53,74,84
71,70,82,96
61,76,82,89
72,73,80,82
64,57,87,93
60,69,83,93
63,61,75,87
32,47,49,81
65,63,73,82
64,68,72,83
67,73,83,97
68,75,85,95
67,71,73,79
64,79,77,92
61,55,82,94
71,74,85,94
54,57,79,86
62,71,63,88
50,50,60,77
69,75,87,90
56,64,74,92
65,71,78,88
78,82,87,90
73,75,83,97
44,57,74,87
61,67,86,93
76,66,79,92
57,69,82,85
68,80,92,92
67,71,89,95
48,68,81,93
65,63,76,83
72,80,81,89
78,75,85,93
54,67,54,84
47,61,78,80
75,63,80,90
51,65,81,83
60,73,81,88
86,86,90,95
68,72,84,87
75,69,88,91
71,63,74,99
66,59,74,90
30,62,80,92
69,67,81,91
75,74,82,95
60,59,61,81
69,72,73,81
55,66,76,90
53,63,78,92
63,63,78,82
56,61,71,95
60,72,79,81
54,47,58,82
60,69,82,87
65,71,74,83
60,72,87,87
63,62,72,88
71,72,84,90
70,76,88,96
66,75,72,92
65,66,72,85
64,68,82,92
68,74,72,95
77,81,85,89
71,76,80,94
55,67,71,79
66,62,73,82
56,61,69,77
73,78,82,87
56,65,68,87
58,57,75,89
76,82,88,98
77,76,86,94
78,81,85,97
58,65,65,85
63,72,82,91
60,56,67,84
61,67,84,82
63,60,74,87
65,76,77,87
59,59,74,88
53,58,73,91
59,80,81,88
52,61,63,91
53,58,70,79
63,68,78,83
61,60,76,88
36,56,75,93
63,64,75,81
63,73,84,90
54,70,73,89
65,75,78,93
46,61,69,81
66,61,87,95
44,56,79,88
58,65,73,91
52,69,67,91
70,68,80,92
54,73,74,84
63,63,74,90
65,72,72,88
45,61,60,82
47,46,54,88
58,66,72,92
35,70,76,88
45,58,69,86
40,45,50,76
54,48,63,84
61,76,86,89
