B1,B2,B3,Actual,,,,
60,46,54,82,,,,
59,74,65,84,,,,
50,54,58,80,,,,
63,66,60,93,,,,
70,78,69,97,,,,
58,61,61,87,,,,
75,64,69,90,,,,
48,50,47,78,,,,
60,57,51,85,,,,
74,73,72,93,,,,
69,69,63,92,,,,
90,90,93,97,,,,
51,57,50,83,,,,
67,69,68,90,,,,
51,66,58,75,,,,
39,57,37,75,,,,
60,61,69,80,,,,
54,52,52,81,,,,
64,65,75,86,,,,
65,69,67,86,,,,
88,91,93,94,,,,
60,66,67,79,,,,
59,76,77,74,,,,
60,70,65,86,,,,
62,81,74,88,,,,
72,76,75,95,,,,
71,77,81,85,,,,
84,91,92,99,,,,
44,68,65,84,,,,
62,61,58,86,,,,
38,53,40,68,,,,
48,58,48,76,,,,
60,73,65,89,,,,
58,66,66,89,,,,
52,75,75,88,,,,
61,74,77,85,,,,
42,52,58,83,,,,
60,51,71,92,,,,
64,67,54,81,,,,
62,62,70,89,,,,
57,66,70,82,,,,
65,78,82,89,,,,
61,56,57,80,,,,
47,56,52,75,,,,
50,63,32,76,,,,
58,59,61,83,,,,
66,61,76,86,,,,
76,80,88,95,,,,
87,86,90,98,,,,
70,76,76,86,,,,
71,75,60,90,,,,
64,66,79,90,,,,
74,89,76,95,,,,
61,58,63,81,,,,
68,73,67,91,,,,
49,70,64,77,,,,
72,86,81,90,,,,
52,60,68,85,,,,
57,62,65,84,,,,
62,63,53,84,,,,
49,57,61,87,,,,
71,65,78,95,,,,
56,63,73,80,,,,
65,62,61,83,,,,
54,52,59,83,,,,
67,73,78,69,,,,
57,55,42,74,,,,
68,67,68,92,,,,
73,75,69,93,,,,
69,66,84,89,,,,
40,51,53,87,,,,
53,72,58,76,,,,
49,48,62,76,,,,
55,64,76,86,,,,
42,55,54,80,,,,
52,60,80,93,,,,
43,59,58,75,,,,
48,66,73,90,,,,
63,77,79,98,,,,
32,44,59,75,,,,
45,67,51,74,,,,
57,75,62,86,,,,
44,58,49,78,,,,
49,56,54,83,,,,
53,72,78,81,,,,
69,71,70,85,,,,
39,73,52,79,,,,
38,68,49,76,,,,
55,72,66,87,,,,
71,79,78,90,,,,
71,78,54,91,,,,
52,65,66,81,,,,
65,81,86,92,,,,
71,70,75,92,,,,
40,62,68,81,,,,
57,77,65,92,,,,
67,65,58,89,,,,
53,59,57,84,,,,
66,57,46,85,,,,
40,66,65,84,,,,
50,62,57,84,,,,
55,85,64,97,,,,
62,74,51,87,,,,
66,79,76,87,,,,
69,86,82,94,,,,
71,60,68,88,,,,
50,80,76,93,,,,
48,60,48,84,,,,
48,78,71,85,,,,
57,67,62,95,,,,
54,73,83,92,,,,
55,69,78,92,,,,
48,67,61,83,,,,
57,64,62,80,,,,
39,58,60,76,,,,
60,65,62,85,,,,
71,81,84,99,,,,
60,62,65,82,,,,
51,56,62,90,,,,
59,57,66,75,,,,
70,76,62,86,,,,
55,62,74,87,,,,
54,73,58,85,,,,
68,81,81,93,,,,
49,56,56,78,,,,
65,72,54,83,,,,
41,70,71,90,,,,
70,75,82,94,,,,
58,76,79,94,,,,
47,60,58,84,,,,
54,75,65,80,,,,
60,67,67,86,,,,
56,63,66,84,,,,
77,71,66,88,,,,
63,76,73,95,,,,
59,69,59,78,,,,
65,70,70,83,,,,
56,64,65,86,,,,
52,66,62,90,,,,
50,49,59,86,,,,
37,44,65,87,,,,
70,81,71,98,,,,
62,67,68,85,,,,
44,50,50,76,,,,
41,60,38,72,,,,
58,64,59,85,,,,
79,75,62,84,,,,
44,54,40,75,,,,
58,64,56,90,,,,
72,81,76,95,,,,
57,79,72,89,,,,
69,73,75,97,,,,
44,68,61,78,,,,
57,70,61,83,,,,
55,65,55,78,,,,
49,61,51,81,,,,
68,81,82,95,,,,
44,58,49,84,,,,
58,55,61,74,,,,
52,72,67,87,,,,
41,79,54,77,,,,
50,65,75,85,,,,
48,61,61,92,,,,
59,78,60,88,,,,
50,62,56,76,,,,
53,73,49,89,,,,
44,52,59,81,,,,
68,68,68,91,,,,
64,68,54,84,,,,
48,48,62,85,,,,
49,69,57,88,,,,
51,68,72,83,,,,
69,61,58,88,,,,
64,76,62,89,,,,
62,66,67,87,,,,
60,72,59,91,,,,
50,72,65,90,,,,
71,81,68,91,,,,
61,66,58,88,,,,
83,91,87,99,,,,
56,65,53,88,,,,
65,65,68,83,,,,
70,71,56,83,,,,
64,61,47,81,,,,
55,53,38,81,,,,
58,59,56,87,,,,
69,71,71,91,,,,
76,69,92,87,,,,
53,55,58,75,,,,
50,74,74,84,,,,
71,63,74,89,,,,
76,76,78,90,,,,
57,79,66,89,,,,
33,49,56,75,,,,
51,60,59,94,,,,
41,58,51,77,,,,
57,55,61,82,,,,
48,67,74,82,,,,
70,67,63,91,,,,
52,65,68,80,,,,
51,64,62,85,,,,
88,89,87,95,,,,
62,72,58,75,,,,
34,59,48,76,,,,
69,75,87,97,,,,
59,63,47,82,,,,
70,73,67,93,,,,
40,56,74,80,,,,
49,68,66,89,,,,
46,54,51,76,,,,
52,63,53,81,,,,
47,59,54,83,,,,
65,66,69,84,,,,
47,61,63,83,,,,
59,80,71,96,,,,
66,81,60,83,,,,
70,89,67,96,,,,
44,76,68,82,,,,
67,74,77,91,,,,
65,69,56,87,,,,
57,76,78,83,,,,
62,67,68,84,,,,
55,65,62,80,,,,
53,75,67,86,,,,
64,71,46,87,,,,
41,65,53,79,,,,
69,84,65,91,,,,
57,65,61,89,,,,
72,68,60,75,,,,
63,75,73,84,,,,
55,66,52,86,,,,
74,78,77,86,,,,
46,57,54,80,,,,
67,63,52,86,,,,
59,69,71,94,,,,
63,71,57,84,,,,
72,63,62,84,,,,
67,73,84,93,,,,
64,69,57,80,,,,
76,74,74,91,,,,
73,61,63,86,,,,
40,51,37,72,,,,
73,69,63,91,,,,
52,76,66,84,,,,
45,62,50,83,,,,
63,63,42,73,,,,
60,75,76,90,,,,
66,78,68,91,,,,
44,62,49,78,,,,
56,77,64,96,,,,
47,57,54,80,,,,
65,77,70,84,,,,
76,75,77,87,,,,
55,70,62,76,,,,
56,68,75,94,,,,
64,80,71,95,,,,
64,73,69,93,,,,
38,49,45,75,,,,
54,57,58,76,,,,
71,81,66,89,,,,
64,70,77,91,,,,
65,80,70,94,,,,
72,68,75,84,,,,
41,62,48,78,,,,
55,76,67,85,,,,
66,71,76,90,,,,
46,69,65,82,,,,
71,70,57,83,,,,
63,85,58,94,,,,
57,79,70,92,,,,
59,63,62,77,,,,
73,74,62,92,,,,
83,74,68,94,,,,
79,75,75,93,,,,
50,56,51,82,,,,
58,67,48,80,,,,
59,70,57,89,,,,
54,61,64,86,,,,
62,81,66,93,,,,
71,71,64,94,,,,
66,80,68,90,,,,
56,55,64,81,,,,
66,67,45,77,,,,
49,69,77,93,,,,
72,63,60,88,,,,
70,78,76,96,,,,
70,78,81,92,,,,
65,63,60,77,,,,
51,49,44,76,,,,
66,74,72,83,,,,
54,65,60,92,,,,
51,56,51,86,,,,
62,72,58,83,,,,
69,72,60,85,,,,
60,75,58,87,,,,
30,56,54,79,,,,
73,73,62,93,,,,
43,60,49,75,,,,
83,83,69,92,,,,
60,68,79,86,,,,
64,81,80,96,,,,
62,73,68,91,,,,
34,70,51,77,,,,
58,72,67,85,,,,
44,63,46,78,,,,
56,62,61,79,,,,
62,75,57,95,,,,
82,88,88,96,,,,
52,73,66,91,,,,
49,68,57,93,,,,
59,58,54,80,,,,
85,82,91,95,,,,
62,63,66,94,,,,
53,72,72,90,,,,
59,61,63,88,,,,
50,62,75,83,,,,
73,79,83,99,,,,
68,61,80,93,,,,
69,55,80,95,,,,
73,71,72,95,,,,
64,88,74,95,,,,
67,74,68,90,,,,
61,64,63,88,,,,
48,61,63,77,,,,
68,76,65,88,,,,
50,63,74,94,,,,
66,65,70,86,,,,
56,87,88,94,,,,
32,59,62,75,,,,
53,72,66,93,,,,
73,65,74,86,,,,
75,80,79,95,,,,
64,69,70,80,,,,
59,69,77,90,,,,
58,61,52,86,,,,
65,76,61,86,,,,
61,71,56,93,,,,
58,72,65,89,,,,
67,72,70,97,,,,
71,71,59,83,,,,
70,72,80,87,,,,
51,57,72,93,,,,
71,80,68,94,,,,
57,57,59,83,,,,
55,65,70,83,,,,
49,65,54,88,,,,
71,62,76,91,,,,
57,68,70,90,,,,
72,78,73,92,,,,
60,68,75,79,,,,
75,75,77,86,,,,
55,62,47,84,,,,
54,63,68,80,,,,
56,54,58,76,,,,
55,62,65,90,,,,
51,53,54,83,,,,
46,66,72,86,,,,
67,78,86,95,,,,
64,82,89,96,,,,
67,51,57,79,,,,
79,75,62,88,,,,
48,68,60,84,,,,
74,89,56,88,,,,
66,75,58,77,,,,
56,80,73,78,,,,
29,50,39,75,,,,
63,72,64,95,,,,
64,66,69,88,,,,
57,61,54,83,,,,
73,78,64,93,,,,
47,77,58,86,,,,
42,57,61,81,,,,
62,63,55,90,,,,
60,66,69,84,,,,
48,56,54,81,,,,
64,70,66,89,,,,
53,66,58,77,,,,
54,59,58,77,,,,
44,69,67,80,,,,
62,64,55,81,,,,
78,69,73,94,,,,
63,78,68,94,,,,
72,67,73,88,,,,
61,68,76,83,,,,
